id,ward,gakku,name,capacity,tel,address,hokui,tokei,url,image,distance
424,21伏見,南浜学区,妙福寺,132,075-601-3588,京都市伏見区柿木浜町423,34.927809,135.76384,http://www.pref.kyoto.jp/hinan/documents/2610920095.pdf,,
423,21伏見,竹田学区,京都拘置所,185,075-681-0501,京都市伏見区竹田向代町138,34.965398,135.754962,http://www.pref.kyoto.jp/hinan/documents/2610920094.pdf,,
422,21伏見,深草学区,京都工学院高等学校,712,075-646-1515,京都市伏見区深草西出山町23番地,34.962057,135.778341,http://www.pref.kyoto.jp/hinan/documents/2610920059.pdf,,
421,21伏見,納所学区,天理教淀分教会,113,075-631-2134,京都市伏見区納所町223,34.90872629,135.7179346,http://www.pref.kyoto.jp/hinan/documents/2610920071.pdf,,
420,21伏見,納所学区,納所会館,145,075-631-6838,京都市伏見区納所妙徳寺1,34.909238,135.7189845,http://www.pref.kyoto.jp/hinan/documents/2610920069.pdf,,
419,21伏見（市外）,市外（淀南）,府立消防学校,185,075-631-8008,京都府八幡市八幡樋ノ口15-15,34.88826233,135.7211184,http://www.pref.kyoto.jp/hinan/documents/2610920072.pdf,,
418,21伏見,南浜学区,府立伏見港公園総合体育館,701,075-611-7081,京都市伏見区葭島金井戸町,34.9252978,135.7578535,http://www.pref.kyoto.jp/hinan/documents/2610920058.pdf,,
417,21伏見,藤城学区,伏見北堀公園地域体育館,450,075-601-0700,京都市伏見区深草大亀谷五郎太町23,34.94151225,135.7776833,http://www.pref.kyoto.jp/hinan/documents/2610920053.pdf,,
416,21伏見,板橋学区,京都市呉竹文化センター,178,075-603-2463,京都市伏見区京町南七丁目35-1,34.93832885,135.7646373,http://www.pref.kyoto.jp/hinan/documents/2610920052.pdf,,
415,21伏見,納所学区,北城堀センター,51,―,京都市伏見区納所北城堀10-1,34.91078177,135.7202789,http://www.pref.kyoto.jp/hinan/documents/2610920070.pdf,,
414,21伏見,藤城学区,京都教育大学附属特別支援学校,145,075-641-3531,京都市伏見区深草大亀谷大山町90,34.9469042,135.7826709,http://www.pref.kyoto.jp/hinan/documents/2610920064.pdf,,
413,21伏見,藤城学区,桃陽総合支援学校,213,075-641-2634,京都市伏見区深草大亀谷岩山町48-1,34.94246535,135.7889796,http://www.pref.kyoto.jp/hinan/documents/2610920050.pdf,,
412,21伏見,桃山学区,呉竹総合支援学校,311,075-601-9104,京都市伏見区桃山福島太夫北町52,34.93905944,135.7700923,http://www.pref.kyoto.jp/hinan/documents/2610920049.pdf,,
